metabolite,pval,padj,py.value,comparison,FC,log2FC
Uric acid,0.624,0.703238095,0.152897611,PBS vs PBS + Cortisone acetate + Voriconazol,0.994357657,-0.008163232
Uridine,0.0295,0.047602273,1.322372312,PBS vs PBS + Cortisone acetate + Voriconazol,1.277301415,0.35309901
VLH,0.25,0.348039216,0.458371819,PBS vs PBS + Cortisone acetate + Voriconazol,0.639821986,-0.644257527
Xanthine,0.000113,0.000348826,3.457391044,PBS vs PBS + Cortisone acetate + Voriconazol,0.607903876,-0.718084877
Xanthosine,0.000834,0.001910129,2.718937294,PBS vs PBS + Cortisone acetate + Voriconazol,0.585648118,-0.771894001
Xylazine,0.389,0.468118644,0.329644062,PBS vs PBS + Cortisone acetate + Voriconazol,0.912132595,-0.132684534
dCytidine,0.00987,0.017968462,1.745489106,PBS vs PBS + Cortisone acetate + Voriconazol,0.763747935,-0.388831521
dInosine,0.0209,0.035330952,1.451844656,PBS vs PBS + Cortisone acetate + Voriconazol,0.757627623,-0.400439162
dUridine,0.000113,0.000348826,3.457391044,PBS vs PBS + Cortisone acetate + Voriconazol,0.498650267,-1.003899772
β-Alanine,0.126,0.190340426,0.720468964,PBS vs PBS + Cortisone acetate + Voriconazol,0.953109653,-0.069285893
γ-Aminobutyric acid,3.43E-05,0.000152206,3.817567514,PBS vs PBS + Cortisone acetate + Voriconazol,0.640564219,-0.642584882
1-Methyl Adenosine,1.20E-07,2.84E-06,5.54668166,PBS vs A. fumigatus wt + Cortisone acetate,0.443992639,-1.171392336
1-Methylhistidine,3.47E-06,3.08E-05,4.511502163,PBS vs A. fumigatus wt + Cortisone acetate,1.834137377,0.875101701
"10-(Hydroxymethyl)-4-methyl-8,11-dioxa-2,6-diazatricyclo[7.2.1.02,7]dodeca-3,6-dien-5-one",0.987,0.987,0.005682847,PBS vs A. fumigatus wt + Cortisone acetate,1.025931734,0.036934736
2'-Deoxycytidine 5'-monophosphate (dCMP),0.214,0.266561404,0.574202734,PBS vs A. fumigatus wt + Cortisone acetate,1.226763684,0.294857364
2-Amino-4-methylpyrimidine,0.021,0.037275,1.428582348,PBS vs A. fumigatus wt + Cortisone acetate,0.852038062,-0.231010215
2-Deoxyribose 5-phosphate,0.000108,0.0005112,3.291409155,PBS vs A. fumigatus wt + Cortisone acetate,0.544512581,-0.876962713
2-Hydroxybutyric acid,0.000628,0.002026727,2.693204688,PBS vs A. fumigatus wt + Cortisone acetate,2.198668002,1.136629774
Acetyl-β-methylcholine,0.0427,0.070504651,1.151782232,PBS vs A. fumigatus wt + Cortisone acetate,0.604720769,-0.725658966
Acetylcarnitine,0.00162,0.004423846,2.354199985,PBS vs A. fumigatus wt + Cortisone acetate,1.243632563,0.314560297
Acetylcholine,9.79E-07,1.16E-05,4.93611021,PBS vs A. fumigatus wt + Cortisone acetate,0.588912078,-0.763875833
Allantoin,0.805,0.828333333,0.081794862,PBS vs A. fumigatus wt + Cortisone acetate,1.057819473,0.081093439
