seqID,barcode,libType,extID,libID,sampleID,extractionMethod,concExt,concAmp,concLib,tissueConc,sampleVol,sampleTreatment,notes,sampleName,sampleType,sampleGroup,sampleGroup2,rawReads,filtReads,OTUs,ratioPhylum,ratioClass,ratioOrder,ratioFamily,ratioGenus,ratioSpecies
18100FL-24-06-83,193,abV4-C,EXT-CP941b-92-B,LIB-CP941b-92-B-1,SA-CP941b-92,molzym ultra deep microbiome,0.38833997,0.043457834,0.081284792,66.67,0.7,A fumigatus delta_pptA_Corisone acetate,less volume,95,lung tissue,6,6,29402,20111,116,116,116,116,114,107,6
18100FL-24-06-80,188,abV4-C,EXT-CP941b-91-B,LIB-CP941b-91-B-1,SA-CP941b-91,molzym ultra deep microbiome,0.207688148,0.050472276,0.177757749,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,94,lung tissue,6,6,44830,32731,112,110,110,110,110,99,7
18100FL-24-06-79,187,abV4-C,EXT-CP941b-90-B,LIB-CP941b-90-B-1,SA-CP941b-90,molzym ultra deep microbiome,0.315833456,0.050472276,0.311701968,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,93,lung tissue,6,6,47747,34350,153,153,153,153,152,145,7
18100FL-24-06-78,186,abV4-C,EXT-CP941b-89-B,LIB-CP941b-89-B-1,SA-CP941b-89,molzym ultra deep microbiome,0.557931475,0.072103252,0.379299985,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,92,lung tissue,6,6,51046,31070,123,123,123,123,121,115,4
18100FL-24-07-12,185,abV4-C,EXT-CP941b-88-B,LIB-CP941b-88-B-1,SA-CP941b-88,molzym ultra deep microbiome,0.691884186,0.092532507,1.835160983,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,91,lung tissue,6,6,41475,32352,182,181,181,181,181,169,8
18100FL-24-07-11,184,abV4-C,EXT-CP941b-87-B,LIB-CP941b-87-B-1,SA-CP941b-87,molzym ultra deep microbiome,0.631666912,0.233133848,4.875819939,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,90,lung tissue,6,6,29106,22927,115,114,114,114,114,108,4
18100FL-24-06-77,183,abV4-C,EXT-CP941b-86-B,LIB-CP941b-86-B-1,SA-CP941b-86,molzym ultra deep microbiome,0.625522293,0.070901531,0.461919784,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,89,lung tissue,6,6,38576,29080,162,162,162,162,161,152,8
18100FL-24-07-10,182,abV4-C,EXT-CP941b-85-B,LIB-CP941b-85-B-1,SA-CP941b-85,molzym ultra deep microbiome,0.491569582,0.091330786,1.025236593,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,88,lung tissue,6,6,32479,28313,157,157,157,157,152,136,12
18100FL-24-06-76,181,abV4-C,EXT-CP941b-84-B,LIB-CP941b-84-B-1,SA-CP941b-84,molzym ultra deep microbiome,1.114634026,0.078111856,0.410595363,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,87,lung tissue,6,6,97477,63636,212,212,212,212,212,201,9
18100FL-24-06-75,180,abV4-C,EXT-CP941b-83-B,LIB-CP941b-83-B-1,SA-CP941b-83,molzym ultra deep microbiome,0.816005506,0.062489485,0.463171599,66.67,0.75,A fumigatus delta_pptA_Corisone acetate,,86,lung tissue,6,6,55627,42051,170,167,167,167,161,151,3
18100FL-24-06-74,179,abV4-C,EXT-CP941b-82-B,LIB-CP941b-82-B-1,SA-CP941b-82,molzym ultra deep microbiome,0.455930787,0.057682601,0.301687447,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,85,lung tissue,5,5,53626,36820,165,163,163,162,159,153,8
18100FL-24-06-73,178,abV4-C,EXT-CP941b-81-B,LIB-CP941b-81-B-1,SA-CP941b-81,molzym ultra deep microbiome,0.899572334,0.064892927,0.256622102,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,84,lung tissue,5,5,38316,24424,137,136,136,136,135,119,8
18100FL-24-06-72,177,abV4-C,EXT-CP941b-80-B,LIB-CP941b-80-B-1,SA-CP941b-80,molzym ultra deep microbiome,0.495256354,0.060086043,0.350508237,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,83,lung tissue,5,5,57266,42139,166,166,166,166,166,156,11
18100FL-24-06-71,176,abV4-C,EXT-CP941b-79-B,LIB-CP941b-79-B-1,SA-CP941b-79,molzym ultra deep microbiome,0.603401662,0.057682601,0.439387111,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,82,lung tissue,5,5,79743,61623,143,143,143,143,142,135,9
18100FL-24-06-70,175,abV4-C,EXT-CP941b-78-B,LIB-CP941b-78-B-1,SA-CP941b-78,molzym ultra deep microbiome,0.337954087,0.049270555,0.102648841,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,81,lung tissue,5,5,35141,21408,129,129,129,129,125,124,7
